Player,PT
"Semenyo
BOUMID",15
"Ekitiké
LIVFWD",11
"M.Salah
LIVMID",8
"Gakpo
LIVMID",7
"Chiesa
LIVMID",6
"Mac Allister
LIVMID",5
"Adams
BOUMID",4
"Brooks
BOUMID",4
"H.Traorè
BOUMID",4
"Tavernier
BOUMID",4
"Endo
LIVMID",4
"Szoboszlai
LIVMID",4
"Smith
BOUDEF",3
"Virgil
LIVDEF",3
"Petrović
BOUGKP",2
"Senesi
BOUDEF",2
"Scott
BOUMID",2
"Wirtz
LIVMID",2
"Hill
BOUDEF",1
"Winterburn
BOUMID",1
"Evanilson
BOUFWD",1
"Kroupi.Jr
BOUFWD",1
"A.Becker
LIVGKP",1
"Frimpong
LIVDEF",1
"Gomez
LIVDEF",1
"Konaté
LIVDEF",1
"C.Jones
LIVMID",1