Round,Extended Foreplay,Cunha Get Me Points,cunha believe it,Schrödongers,son4lyfe,thenotsospecialone,Trophies Matter FC,Peattle Pounders,This Year FC,Atlético SeaSlug,Gweepy,FootAndBallFetish
1,M.Salah,Haaland,Palmer,Isak,B.Fernandes,João Pedro,Watkins,Wirtz,Mbeumo,Gyökeres,Saka,Ekitiké
2,Delap,Strand Larsen,Šeško,Wood,Mateta,Eze,Marmoush,Bowen,Ødegaard,Gakpo,Foden,Cunha
3,Madueke,Sarr,Solanke,Wissa,Rogers,Kudus,Virgil,Evanilson,Trossard,Elanga,Raya,Gordon
4,J.Murphy,Minteh,Mitoma,Aït-Nouri,Johnson,Semenyo,Neto,Gabriel,Rice,Grealish,Pickford,Ndiaye
5,A.Becker,Saliba,Gibbs-White,Reijnders,Frimpong,Pedro Porro,Robertson,Schade,Enzo,Raúl,Gvardiol,Iwobi
6,Cucurella,Sels,Kerkez,Kluivert,Szoboszlai,Sánchez,Garnacho,Malen,Rúben,Muñoz,Milenković,Piroe
7,Amad,Martinelli,Cherki,Georginio,White,Welbeck,Henderson,Konaté,Schär,Füllkrug,Lewis-Skelly,Guessand
8,J.Timber,Souček,Aina,Murillo,Thiago,Bernardo,Savinho,Anderson,Calafiori,Caicedo,Tarkowski,N.Jackson
9,Havertz,Van de Ven,Beto,Damsgaard,Romero,Branthwaite,Mac Allister,Hall,Akanji,J.Arias,James,Rodon
10,Mykolenko,N.Williams,Livramento,De Cuyper,Wan-Bissaka,Mitchell,Richarlison,Marc Guiu,Aké,Pope,Maddison,Ederson M.
11,Matheus N.,Diouf,Leno,Lacroix,Trippier,Gusto,Højlund,Onana,G.Jesus,Tosin,Rodrigo,O'Brien
12,Muniz,Dorgu,Wilson,Martinez,Mayenda,Chiesa,Stones,Vicario,Barry,Guéhi,Bruno G.,Konsa
13,Hudson-Odoi,Tonali,Yoro,Chalobah,Barnes,Udogie,Khusanov,Richards,Zirkzee,Estève,Igor Jesus,Pinnock
14,Burn,Petrović,Botman,Verbruggen,Areola,Bamford,Kiwior,Van Hecke,Trafford,Mosquera,Wilson,Kelleher
15,Bayindir,Awoniyi,José Sá,Dewsbury-Hall,Onana,Kinsky,Ortega Moreno,Meslier,Arrizabalaga,Ramsdale,Nketiah,Kilman